mode,load,0_mobilenet_v3_small-32,1_mobilenet_v3_small-32
mig,0.1,5.958080291748047,6.013751029968262
mig,0.2,5.8029890060424805,5.891323089599609
mig,0.3,5.703926086425781,5.572676658630371
mig,0.4,4.478693008422852,4.075527191162109
mig,0.5,4.067897796630859,3.8576126098632812
mig,0.6,4.051685333251953,3.5958290100097656
mig,0.7,4.0569305419921875,3.6003589630126953
mig,0.8,4.057884216308594,3.5941600799560547
mig,0.9,4.048585891723633,3.5920143127441406
mig,1.0,4.058837890625,3.5915374755859375
