mode,load,0_mobilenet_v3_small-32,1_mobilenet_v3_small-32
mig,0.1,6.761813163757324,6.84612512588501
mig,0.2,6.616957187652587,6.683783531188965
mig,0.3,6.953623294830322,6.792364120483397
mig,0.4,6.885595321655275,6.693055629730225
mig,0.5,6.557893753051759,6.138029098510744
mig,0.6,5.3213596343994105,4.735937118530275
mig,0.7,4.754304885864258,4.2972564697265625
mig,0.8,4.750728607177734,4.291250705718993
mig,0.9,4.742536544799805,4.287481307983398
mig,1.0,4.7531914710998535,4.291727542877196
