mode,load,0_alexnet-8,1_mobilenet_v2-8,2_vgg19-2
mps-uncap,0.6,2.4985551834106445,6.8814516067504865,2.651786804199219
mig,0.6,4.417181015014648,11.056947708129883,13.96615505218506
mps-uncap,0.7,3.074431419372559,10.156321525573736,3.5014629364013654
mig,0.7,6.695270538330078,17.02094078063965,24.212646484375
mps-uncap,0.8,4.303216934204102,13.18168640136719,4.327702522277835
mig,0.8,19.649744033813477,28.45907211303711,34.56289768218994
mps-uncap,0.9,5.981802940368654,20.374298095703125,5.720424652099608
mig,0.9,519.9156522750852,76.55172348022461,86.38153076171876
mps-uncap,1.0,20.707464218139652,33.45756530761719,8.08262825012207
mig,1.0,1313.7157917022707,1055.4814338684082,401.05342864990246
mps-uncap,1.1,177.98485755920413,3981.8228721618657,13.659358024597168
mig,1.1,5828.797316551209,6333.1618309021,5677.411365509033
mps-uncap,1.2,7960.13445854187,12543.67482662201,17.384886741638184
mig,1.2,10898.167610168457,11948.975944519043,13212.58616447449
mps-uncap,1.3,15174.819803237915,20128.28779220581,21.433496475219727
mig,1.3,17586.507320404053,18421.020317077637,17630.49497604371
