mode,load,0_alexnet-8,1_mobilenet_v2-8,2_vgg19-2
mps-uncap,0.6,0.029087066650390625,0.5186796188354492,0.021457672119140625
mig,0.6,0.6768703460693359,2.0711421966552734,2.034425735473633
mps-uncap,0.7,0.2789497375488281,2.271294593811035,0.018358230590820312
mig,0.7,1.3217926025390625,3.733396530151367,5.319118499755859
mps-uncap,0.8,0.7765293121337891,3.0324459075927734,0.018358230590820312
mig,0.8,2.5331974029541016,6.252288818359375,8.94021987915039
mps-uncap,0.9,1.1286735534667969,4.988193511962891,0.019788742065429688
mig,0.9,4.688382148742676,11.718034744262695,25.24089813232422
mps-uncap,1.0,4.983186721801758,8.754372596740723,0.8285045623779297
mig,1.0,14.777421951293945,146.07977867126465,140.61474800109863
mps-uncap,1.1,65.4897689819336,2191.0226345062256,3.0927658081054688
mig,1.1,1969.809651374817,2868.868350982666,2448.338031768799
mps-uncap,1.2,4185.79638004303,6739.744067192078,4.3267011642456055
mig,1.2,5459.853410720825,6212.660312652588,7543.255805969238
mps-uncap,1.3,8159.059643745422,10751.8892288208,5.755066871643066
mig,1.3,9097.022771835327,9755.833148956299,9728.437662124634
