mode,load,0_alexnet-8,1_mobilenet_v2-8,2_vgg19-2
mps-uncap,0.6,2.184152603149414,5.494999885559081,4.579401016235352
mig,0.6,2.4237632751464844,6.051778793334961,8.132028579711914
mps-uncap,0.7,2.091741561889649,5.307745933532716,4.700422286987305
mig,0.7,2.359628677368164,5.903005599975586,8.113908767700197
mps-uncap,0.8,2.1514892578125,5.402803421020508,4.883527755737305
mig,0.8,2.3272037506103516,5.762338638305664,8.030009269714355
mps-uncap,0.9,2.1233558654785156,5.4798126220703125,4.888153076171875
mig,0.9,2.312183380126953,5.626440048217773,7.933855056762695
mps-uncap,1.0,2.346038818359375,5.015373229980469,5.026817321777344
mig,1.0,2.2793292999267587,5.6056976318359375,7.918119430541992
mps-uncap,1.1,2.262115478515625,5.992460250854492,5.167484283447266
mig,1.1,2.2573471069335938,5.603647232055664,7.920503616333008
mps-uncap,1.2,2.3081302642822266,6.080389022827148,5.196571350097656
mig,1.2,2.088308334350586,5.419301986694336,7.8830718994140625
mps-uncap,1.3,2.3403167724609375,6.152868270874023,5.206608772277832
mig,1.3,2.1276473999023438,5.497932434082031,7.916355133056642
