mode,load,0_alexnet-8,1_mobilenet_v2-8,2_vgg19-2
mps-uncap,0.6,4.333996772766116,11.268329620361326,6.358861923217774
mig,0.6,6.566047668457031,16.351795196533203,21.708917617797855
mps-uncap,0.7,4.821205139160158,14.613413810729986,7.445096969604492
mig,0.7,8.749961853027344,22.304534912109375,31.944513320922866
mps-uncap,0.8,6.033897399902344,17.785692214965827,8.624720573425295
mig,0.8,21.616458892822266,33.90073776245117,42.262101173400936
mps-uncap,0.9,7.680869102478027,24.96206760406494,10.033559799194336
mig,0.9,522.1777200698848,82.09323883056643,94.15855407714845
mps-uncap,1.0,22.52881526947022,38.02196979522705,12.689352035522461
mig,1.0,1315.572309494019,1060.7002258300781,408.9200973510743
mps-uncap,1.1,179.736590385437,3986.874294281006,18.515467643737793
mig,1.1,5830.8434009552,6338.294839859009,5685.191869735718
mps-uncap,1.2,7961.9991064071655,12547.902727127075,22.280335426330566
mig,1.2,10900.065612792969,11954.110622406006,13220.369863510132
mps-uncap,1.3,15176.50978565216,20132.988691329956,26.276826858520508
mig,1.3,17588.504314422607,18426.13458633423,17638.408184051517
