mode,load,0_alexnet-8,1_mobilenet_v2-8,2_vgg19-2
mps-uncap,0.6,13.387203216552734,16.039609909057617,7.597446441650391
mig,0.6,17.038345336914062,9.353876113891602,9.42683219909668
mps-uncap,0.7,5.51152229309082,9.405136108398438,7.670164108276367
mig,0.7,13.64278793334961,20.052671432495117,20.348548889160156
mps-uncap,0.8,11.084318161010742,14.55068588256836,7.460117340087891
mig,0.8,16.04771614074707,18.925905227661133,20.006656646728516
mps-uncap,0.9,9.520530700683594,12.11404800415039,12.764453887939453
mig,0.9,15.850067138671875,18.25118064880371,19.96159553527832
mps-uncap,1.0,10.9405517578125,10.728120803833008,12.571573257446289
mig,1.0,9.630918502807617,17.24529266357422,14.237403869628906
mps-uncap,1.1,12.511968612670898,15.570640563964844,15.679121017456055
mig,1.1,16.448974609375,18.474102020263672,19.831180572509766
mps-uncap,1.2,12.843847274780273,17.415285110473633,16.89624786376953
mig,1.2,16.00170135498047,20.097017288208008,17.274856567382812
mps-uncap,1.3,14.566898345947266,15.552997589111328,13.383865356445312
mig,1.3,16.930818557739258,19.826173782348633,21.177053451538086
