mode,load,0_alexnet-8,1_mobilenet_v2-8,2_vgg19-2
mps-uncap,0.6,8.350367546081552,18.416497707366922,10.124034881591799
mig,0.6,13.031935691833475,29.139888286590384,36.94937705993646
mps-uncap,0.7,9.08260583877563,24.89186048507692,13.000335693359371
mig,0.7,31.68177604675291,42.0377254486084,60.60028076171875
mps-uncap,0.8,11.288452148437544,34.0989542007447,15.249910354614256
mig,0.8,224.469518661499,127.862453460694,71.7335844039917
mps-uncap,0.9,16.288309097290067,44.073879718780525,18.257474899292006
mig,0.9,1228.1237769126892,214.7940444946289,160.63402175903343
mps-uncap,1.0,40.060107707977295,61.02393627166749,22.66218662261962
mig,1.0,1723.8970279693604,1239.85800743103,484.9824237823487
mps-uncap,1.1,269.29211854934687,4450.284304618835,37.1098399162293
mig,1.1,6284.386389255524,7009.464998245238,6137.9975509643555
mps-uncap,1.2,8863.347299098969,13766.29292011261,37.75863647460934
mig,1.2,11954.767267704008,13088.2427072525,14547.996912002563
mps-uncap,1.3,16533.915300369263,22056.4697265625,46.20825529098505
mig,1.3,18927.251052856445,19964.9575996399,19647.295484542847
