mode,load,0_alexnet-8,1_mobilenet_v2-8,2_vgg19-2
mps-uncap,0.6,15.304803848266602,26.77297592163086,16.91293716430664
mig,0.6,38.04135322570801,47.04165458679199,57.19280242919922
mps-uncap,0.7,15.787601470947266,42.84214973449707,26.148080825805664
mig,0.7,51.586151123046875,63.85445594787598,77.65913009643555
mps-uncap,0.8,20.869970321655273,64.68057632446289,26.94249153137207
mig,0.8,253.30376625061035,214.95890617370605,90.76666831970215
mps-uncap,0.9,35.32528877258301,61.666250228881836,30.313730239868164
mig,0.9,1313.5740756988525,262.45856285095215,211.2574577331543
mps-uncap,1.0,61.91658973693848,87.91828155517578,41.31197929382324
mig,1.0,1781.8918228149414,1294.8410511016846,526.0868072509766
mps-uncap,1.1,303.9987087249756,4525.499105453491,60.56499481201172
mig,1.1,6329.7278881073,7120.381832122803,6205.38854598999
mps-uncap,1.2,8924.023866653442,13901.93486213684,57.96241760253906
mig,1.2,12082.728147506714,13281.501531600952,14725.841045379639
mps-uncap,1.3,16749.25994873047,22273.500442504883,77.18110084533691
mig,1.3,19026.55529975891,20154.753923416138,19840.171575546265
