mode,load,0_alexnet-8,1_mobilenet_v2-8,2_vgg19-2
mps-uncap,0.6,1.0235309600830078,4.002094268798828,2.3145675659179688
mig,0.6,1.692056655883789,4.856586456298828,7.577180862426758
mps-uncap,0.7,1.0113716125488281,4.094362258911133,2.3148059844970703
mig,0.7,1.6908645629882812,4.85539436340332,7.547616958618164
mps-uncap,0.8,1.0378360748291016,3.9675235748291016,2.3283958435058594
mig,0.8,1.6927719116210938,4.860401153564453,7.578134536743164
mps-uncap,0.9,1.0135173797607422,4.039525985717773,2.3326873779296875
mig,0.9,1.6930103302001953,4.862070083618164,7.559537887573242
mps-uncap,1.0,1.0306835174560547,4.127740859985352,2.345561981201172
mig,1.0,1.6956329345703125,4.866600036621094,7.591724395751953
mps-uncap,1.1,1.102447509765625,4.10008430480957,2.7916431427001953
mig,1.1,1.6925334930419922,4.865407943725586,7.587671279907227
mps-uncap,1.2,1.094818115234375,4.008769989013672,3.8907527923583984
mig,1.2,1.6965866088867188,4.864931106567383,7.602691650390625
mps-uncap,1.3,1.1451244354248047,4.059314727783203,2.5529861450195312
mig,1.3,1.7733573913574219,4.943370819091797,7.593393325805664
