mode,load,0_alexnet-8,1_mobilenet_v2-8,2_vgg19-2
mps-uncap,0.6,1.405477523803711,4.275202751159668,3.3812522888183594
mig,0.6,1.8258094787597656,5.029201507568359,7.6770782470703125
mps-uncap,0.7,1.391768455505371,4.355430603027344,3.522634506225586
mig,0.7,1.8398761749267578,5.044460296630859,7.683277130126953
mps-uncap,0.8,1.4872550964355469,4.250526428222656,3.9376020431518555
mig,0.8,1.8458366394042969,5.056142807006836,7.693052291870117
mps-uncap,0.9,1.5163421630859375,4.349946975708008,4.1351318359375
mig,0.9,1.8488168716430664,5.068063735961914,7.691621780395508
mps-uncap,1.0,1.684427261352539,4.4460296630859375,4.548549652099609
mig,1.0,1.8613338470458984,5.103588104248047,7.723331451416016
mps-uncap,1.1,1.8270015716552734,5.0449371337890625,4.780411720275879
mig,1.1,1.8820762634277344,5.146980285644531,7.747411727905273
mps-uncap,1.2,1.8939971923828125,5.366802215576172,4.815340042114258
mig,1.2,1.8727779388427734,5.128145217895508,7.746458053588867
mps-uncap,1.3,1.9341707229614258,5.486488342285156,4.816651344299316
mig,1.3,1.8639564514160156,5.111455917358398,7.754087448120117
