mode,load,0_alexnet-8,1_mobilenet_v2-8,2_vgg19-2
mps-uncap,0.6,3.556349277496339,7.3115897178649885,5.888524055480958
mig,0.6,3.5498142242431605,7.196314334869383,8.702170848846434
mps-uncap,0.7,3.375256061553953,7.119476795196535,5.923681259155273
mig,0.7,3.42264175415039,7.094621658325195,8.665084838867188
mps-uncap,0.8,3.1172990798950218,6.736230850219743,5.902750492095946
mig,0.8,3.202104568481445,6.898474693298341,8.609182834625244
mps-uncap,0.9,2.714295387268067,6.394076347351076,5.484437942504884
mig,0.9,3.0188822746276855,6.435213088989259,8.376493453979492
mps-uncap,1.0,2.812817096710203,5.591039657592774,5.696296691894531
mig,1.0,2.9043483734130895,6.364006996154784,8.325762748718262
mps-uncap,1.1,2.6865005493164062,6.469540596008301,5.461013317108154
mig,1.1,2.887949943542481,6.355972290039062,8.289756774902344
mps-uncap,1.2,2.709896564483642,6.546292304992674,5.4985642433166495
mig,1.2,2.602405548095696,6.264734268188472,8.22347640991211
mps-uncap,1.3,2.7505922317504865,6.594681739807129,5.504946708679199
mig,1.3,2.801132202148435,6.3399791717529315,8.265771865844727
