mode,load,0_alexnet-8,1_mobilenet_v2-8,2_vgg19-2
mps-uncap,0.6,1.0390281677246094,4.037380218505859,2.3424625396728516
mig,0.6,1.7075538635253906,4.879236221313477,7.595062255859375
mps-uncap,0.7,1.0247230529785156,4.123926162719727,2.329587936401367
mig,0.7,1.7096996307373047,4.872322082519531,7.601737976074219
mps-uncap,0.8,1.0521411895751953,4.006385803222656,2.3527145385742188
mig,0.8,1.7132759094238281,4.891872406005859,7.595300674438477
mps-uncap,0.9,1.0275840759277344,4.081010818481445,2.363443374633789
mig,0.9,1.7161369323730469,4.889965057373047,7.607221603393555
mps-uncap,1.0,1.0790824890136719,4.173040390014648,2.3725032806396484
mig,1.0,1.7101764678955078,4.9648284912109375,7.625102996826172
mps-uncap,1.1,1.1744499206542969,4.409313201904297,2.8061866760253906
mig,1.1,1.791238784790039,4.965305328369141,7.6465606689453125
mps-uncap,1.2,1.7130374908447266,4.254817962646484,3.988981246948242
mig,1.2,1.7900466918945312,4.973649978637695,7.645130157470703
mps-uncap,1.3,1.6994476318359375,6.319284439086914,4.0225982666015625
mig,1.3,1.8465518951416016,5.013227462768555,7.676362991333008
