mode,load,0_alexnet-8,1_mobilenet_v2-8,2_vgg19-2
mps-uncap,0.6,13.016700744628906,22.60112762451172,13.350248336791992
mig,0.6,35.68315505981445,42.009830474853516,49.491167068481445
mps-uncap,0.7,14.658212661743164,38.709163665771484,21.762371063232422
mig,0.7,48.97046089172363,58.13097953796387,70.01948356628418
mps-uncap,0.8,18.384456634521484,59.708356857299805,21.711111068725586
mig,0.8,250.98919868469238,209.19418334960938,83.02164077758789
mps-uncap,0.9,33.067941665649414,57.04307556152344,25.474071502685547
mig,0.9,1311.1600875854492,256.46328926086426,203.32956314086914
mps-uncap,1.0,60.50896644592285,83.02736282348633,36.36336326599121
mig,1.0,1779.5078754425049,1289.5939350128174,518.2864665985107
mps-uncap,1.1,302.0007610321045,4521.305084228516,55.719614028930664
mig,1.1,6327.883958816528,7115.189552307129,6197.613954544067
mps-uncap,1.2,8917.18602180481,13895.098447799683,52.81686782836914
mig,1.2,12080.884218215942,13276.254415512085,14718.105792999268
mps-uncap,1.3,16736.80305480957,22266.9415473938,72.88241386413574
mig,1.3,19012.03155517578,20145.251989364624,19832.502365112305
