mode,load,0_alexnet-8,1_mobilenet_v2-8,2_vgg19-2
mps-uncap,0.6,0.010728836059570312,0.011920928955078125,0.012874603271484375
mig,0.6,0.010967254638671875,0.011682510375976562,0.011205673217773438
mps-uncap,0.7,0.01049041748046875,0.011682510375976562,0.0133514404296875
mig,0.7,0.010967254638671875,0.011920928955078125,0.011920928955078125
mps-uncap,0.8,0.011205673217773438,0.011444091796875,0.011920928955078125
mig,0.8,0.010728836059570312,0.011682510375976562,0.011444091796875
mps-uncap,0.9,0.011205673217773438,0.011682510375976562,0.013113021850585938
mig,0.9,0.011444091796875,0.012636184692382812,0.012636184692382812
mps-uncap,1.0,0.010728836059570312,0.011920928955078125,0.011682510375976562
mig,1.0,0.011444091796875,0.012159347534179688,0.013589859008789062
mps-uncap,1.1,0.012159347534179688,0.015497207641601562,0.011920928955078125
mig,1.1,0.012636184692382812,0.015974044799804688,0.017881393432617188
mps-uncap,1.2,0.012874603271484375,0.015735626220703125,0.011444091796875
mig,1.2,0.012636184692382812,0.016927719116210938,0.017404556274414062
mps-uncap,1.3,0.013113021850585938,0.013828277587890625,0.011682510375976562
mig,1.3,0.0133514404296875,0.013828277587890625,0.0152587890625
