mode,load,0_alexnet-8,1_mobilenet_v2-8,2_vgg19-2
mps-uncap,0.6,2406.4411766668236,916.7738990319068,149.03666752637844
mig,0.6,2344.354785430057,906.5651792183767,148.68936979463342
mps-uncap,0.7,2790.1953242897966,1075.6975072619907,177.56548383733616
mig,0.7,2786.5600518985843,1062.299170298417,175.47740832774787
mps-uncap,0.8,3172.6201546241305,1207.912812723355,199.7416551093181
mig,0.8,3234.216401279518,1193.0953376992475,201.19831701226423
mps-uncap,0.9,3510.8343668653856,1337.2668424003734,231.13648216272196
mig,0.9,3613.4726596680543,1364.536441811455,231.63015638990035
mps-uncap,1.0,4040.1148545081423,1502.6121370629614,249.61064491267777
mig,1.0,3897.0353637356156,1511.5455919684975,253.25821490197453
mps-uncap,1.1,4392.767585012504,1581.3077559650656,277.6790480992864
mig,1.1,4063.425290531505,1525.7620441172646,256.6211858603566
mps-uncap,1.2,4290.581271544836,1541.7800510973254,308.8357407637774
mig,1.2,4120.258302961999,1537.8538702342362,257.09513280084195
mps-uncap,1.3,4193.403252863233,1506.3295314941438,323.51455625441304
mig,1.3,4120.715775408231,1535.842712580312,256.61741075340774
