mode,load,0_alexnet-8,1_mobilenet_v2-8,2_vgg19-2
mps-uncap,0.6,1.8292665481567383,5.750060081481934,3.683805465698242
mig,0.6,2.7594566345214844,7.3500871658325195,9.802460670471191
mps-uncap,0.7,1.9832849502563477,6.818056106567383,3.99017333984375
mig,0.7,3.2753944396972656,8.950233459472656,13.151168823242188
mps-uncap,0.8,2.3889541625976562,7.512331008911133,4.444718360900879
mig,0.8,4.449605941772461,11.450052261352539,16.672134399414062
mps-uncap,0.9,2.7288198471069336,9.573578834533691,4.716157913208008
mig,0.9,6.56890869140625,16.829252243041992,32.92083740234375
mps-uncap,1.0,6.768465042114258,13.289570808410645,5.335807800292969
mig,1.0,16.675233840942383,151.26442909240723,148.32520484924316
mps-uncap,1.1,67.29757785797119,2195.253849029541,7.844090461730957
mig,1.1,1971.6615676879883,2873.961925506592,2456.092357635498
mps-uncap,1.2,4187.8821849823,6744.316935539246,9.149789810180664
mig,1.2,5461.679100990295,6217.716217041016,7551.047801971436
mps-uncap,1.3,8160.880208015442,10756.849527359009,10.552406311035156
mig,1.3,9098.977088928223,9760.9543800354,9736.157894134521
