mode,load,0_alexnet-8,1_mobilenet_v2-8,2_vgg19-2
mps-uncap,0.6,6.518473625183111,13.953893184661796,6.313762664794924
mig,0.6,10.849356651306092,23.990809917449944,29.309775829315125
mps-uncap,0.7,7.286937236785873,20.471761226654056,9.00521278381347
mig,0.7,29.24613952636717,36.84234619140625,52.86337852478027
mps-uncap,0.8,9.49604511260987,29.56802845001226,10.822463035583494
mig,0.8,222.02444076538086,121.92597389221243,63.992059230804436
mps-uncap,0.9,14.401409626007089,39.383876323699965,13.687200546264659
mig,0.9,1225.783565044403,208.9233303070069,152.97446250915553
mps-uncap,1.0,38.16143989562982,56.60430192947389,18.126082420349093
mig,1.0,1721.8644857406616,1234.7558879852293,477.28396892547613
mps-uncap,1.1,267.47097253799416,4445.511264801025,32.23081827163697
mig,1.1,6282.451586723328,7004.412546157836,6130.147924423218
mps-uncap,1.2,8861.794612407683,13761.609740257261,32.82802104949946
mig,1.2,11952.865607738493,13082.960982322693,14540.201711654663
mps-uncap,1.3,16532.016727924347,22050.005435943604,41.30385398864743
mig,1.3,18925.42691230774,19959.774818420417,19639.52703475952
