mode,load,0_alexnet-4,1_resnet34-16,2_vgg19-2
mps-uncap,0.8,1773.0449001877346,1567.6417920864278,349.7736626075126
mps-uncap,0.9,2067.152921653716,1750.9075438164475,384.69950701319334
mps-uncap,1.0,2296.975684506311,1995.9191446702362,435.2927467735448
mps-uncap,0.5,1128.1893048459958,997.7171258746677,216.29069198148477
mps-uncap,0.6,1315.704710721672,1165.5662221493,257.45324052130337
mps-uncap,0.7,1536.2285369890508,1394.1361243269164,302.2432498303032
mps-uncap,0.1,226.36346333394272,203.6498157828863,44.681159031160476
mps-uncap,0.2,454.40415094267286,391.5327567425595,86.13357257185523
mps-uncap,0.3,691.3081490771971,600.5142344964804,130.1484740569446
mps-uncap,0.4,905.3406699195069,770.7891063957532,170.96900282064587
