mode,load,0_resnet101-32,1_efficientnet_b7-16,2_squeezenet1_0-4
mps-uncap,1.0,39.57587480545044,69.96360301971436,13.04971694946289
mig,1.0,43.39433431625366,99.58281993865967,3.1405544281005864
