mode,load,0_resnet101-32,1_efficientnet_b7-16,2_squeezenet1_0-4
mps-uncap,1.0,35.654425621032715,68.09091567993164,6.776332855224609
mig,1.0,41.05830192565918,98.17981719970703,2.8214454650878906
