mode,load,0_densenet121-32,1_mobilenet_v3_small-16,2_vgg19-8
mps-uncap,0.6,22.0259428024292,4.296779632568359,8.121967315673828
mig,0.6,32.208800315856934,4.184246063232422,22.32813835144043
mps-uncap,0.7,22.317886352539062,4.248380661010742,8.579492568969727
mig,0.7,32.303810119628906,4.134654998779297,22.34816551208496
mps-uncap,0.8,23.449420928955078,4.2743682861328125,9.009003639221191
mig,0.8,32.3868989944458,4.17017936706543,22.41969108581543
mps-uncap,0.9,25.60114860534668,4.43720817565918,9.215593338012695
mig,0.9,32.544612884521484,4.158258438110352,22.55392074584961
mps-uncap,1.0,25.603532791137695,5.164980888366699,9.549379348754883
mig,1.0,32.73606300354004,4.168033599853516,22.662997245788574
mps-uncap,1.1,26.04389190673828,6.328940391540527,9.738564491271973
mig,1.1,32.846808433532715,4.131078720092773,22.71103858947754
mps-uncap,1.2,26.45277976989746,6.823301315307617,9.949207305908203
mig,1.2,32.88412094116211,4.11224365234375,22.727251052856445
mps-uncap,1.3,28.069496154785156,7.586836814880371,9.910821914672852
mig,1.3,32.84299373626709,4.210948944091797,22.684574127197266
