mode,load,0_densenet121-32,1_mobilenet_v3_small-16,2_vgg19-8
mps-uncap,0.6,573.1627254565421,2228.8616955727293,206.96527283258754
mig,0.6,591.2107493344818,2249.6482871498592,209.83571253572066
mps-uncap,0.7,657.1098576812241,2685.2334732227214,243.06926595292057
mig,0.7,666.9634903348929,2636.3654921290804,251.03610064859404
mps-uncap,0.8,759.3199171284165,2779.322290866651,273.4484754701051
mig,0.8,757.6280568714964,2936.5893092401197,285.42084149519957
mps-uncap,0.9,856.2048566877944,2678.415014127628,319.147606149411
mig,0.9,896.9632930806495,3372.5929852981976,312.98511394260703
mps-uncap,1.0,954.2399489137671,2423.482754651213,344.5930829381088
mig,1.0,958.3300926386925,3743.045377481382,346.4199839247005
mps-uncap,1.1,1061.4373726717597,2190.0211146388233,381.8427568731613
mig,1.1,961.6860212846524,3789.159896967082,350.2987240487756
mps-uncap,1.2,1109.9835899242942,2057.2736837599236,406.4340656541022
mig,1.2,967.8347138414906,3807.9600566316713,350.43629015670433
mps-uncap,1.3,1065.1918159003476,1946.9681385938318,452.18970901880607
mig,1.3,966.0249002241436,3713.227961660413,350.6310618310786
