mode,load,0_mobilenet_v2-32,1_squeezenet1_0-4,2_vgg19-8
mps-uncap,0.8,1835.1523343256001,441.19415431964717,643.5015947037605
mps-uncap,0.9,2010.5308679831558,494.1215755637031,713.1275787070692
mps-uncap,1.0,2251.822096473156,547.6239413663671,801.2528899047629
mps-uncap,0.5,1130.1588150238922,282.67456655991555,405.0135271919247
mps-uncap,0.6,1324.3036412634772,333.72780915959817,490.57112785121063
mps-uncap,0.7,1534.587472773964,382.1318205452276,534.0693895332093
mps-uncap,0.1,218.40990591647184,56.98412444070952,77.70336984991675
mps-uncap,0.2,439.6973100331234,105.02739539291122,166.93499095695745
mps-uncap,0.3,678.1303912960788,170.4624986993677,249.6124502596755
mps-uncap,0.4,906.894902524161,225.50228358640587,312.33458533261984
