mode,load,0_mobilenet_v2-32,1_squeezenet1_0-4,2_vgg19-8
mps-uncap,0.8,5.5370330810546875,1.1942386627197266,5.969762802124023
mps-uncap,0.9,5.53584098815918,1.199483871459961,6.013154983520508
mps-uncap,1.0,5.571603775024414,1.1818408966064453,6.015539169311523
mps-uncap,0.5,5.543708801269531,1.1641979217529297,5.974292755126953
mps-uncap,0.6,5.541324615478516,1.1916160583496094,5.9356689453125
mps-uncap,0.7,5.54966926574707,1.176595687866211,5.94329833984375
mps-uncap,0.1,5.552768707275391,1.1737346649169922,5.939245223999023
mps-uncap,0.2,5.529165267944336,1.1951923370361328,5.960941314697266
mps-uncap,0.3,5.532741546630859,1.1930465698242188,5.963563919067383
mps-uncap,0.4,5.528926849365234,1.1801719665527344,5.9566497802734375
