mode,load,0_mobilenet_v2-32,1_squeezenet1_0-4,2_vgg19-8
mps-uncap,0.8,94.32125091552734,57.904720306396484,78.90129089355469
mps-uncap,0.9,162.9488468170166,122.56789207458496,114.54296112060547
mps-uncap,1.0,595.8309173583984,251.68371200561523,604.1021347045898
mps-uncap,0.5,23.900747299194336,17.309904098510742,26.425838470458984
mps-uncap,0.6,48.62070083618164,23.0100154876709,32.828330993652344
mps-uncap,0.7,51.558732986450195,48.431396484375,42.3436164855957
mps-uncap,0.1,5.161523818969727,2.7191638946533203,7.67970085144043
mps-uncap,0.2,11.272907257080078,6.802558898925781,17.191410064697266
mps-uncap,0.3,17.324209213256836,10.286569595336914,25.75850486755371
mps-uncap,0.4,25.30050277709961,16.457319259643555,24.481773376464844
