mode,load,0_mobilenet_v2-32,1_squeezenet1_0-4,2_vgg19-8
mps-uncap,0.8,13.496017456054688,8.172035217285156,10.14089584350586
mps-uncap,0.9,14.093351364135742,8.819293975830078,10.374021530151367
mps-uncap,1.0,14.8345947265625,8.86242389678955,10.569047927856445
mps-uncap,0.5,12.336111068725586,5.304718017578127,9.361457824707031
mps-uncap,0.6,12.894153594970703,6.340503692626953,9.597563743591309
mps-uncap,0.7,12.945771217346191,7.1063995361328125,9.77480411529541
mps-uncap,0.1,7.22956657409668,3.0401706695556645,6.53378963470459
mps-uncap,0.2,9.850215911865234,3.969550132751465,7.496476173400886
mps-uncap,0.3,10.854673385620119,4.557180404663086,8.893299102783203
mps-uncap,0.4,11.530256271362305,4.709124565124512,9.162712097167969
