mode,load,0_mobilenet_v3_small-32,1_resnet50-8,2_vgg13-16
mps-uncap,0.8,77.84497261047372,104.07084465026794,78.17773342132566
mps-uncap,0.9,174.1542100906372,186.1571311950684,165.32769203186024
mps-uncap,1.0,756.5207576751708,1257.3217964172363,458.64158153533936
mps-uncap,0.5,28.500282764434814,37.024049758911104,33.34639549255355
mps-uncap,0.6,32.327353954315186,48.35751533508291,37.42739200592039
mps-uncap,0.7,47.089099884033054,67.77560234069824,48.365583419799805
mps-uncap,0.1,11.581926345825194,16.76064014434814,14.821076393127441
mps-uncap,0.2,16.02860927581784,17.871220111846924,19.92724895477292
mps-uncap,0.3,16.87451362609865,23.054044246673584,20.476851463317868
mps-uncap,0.4,21.108422279357907,27.81441211700447,25.31845092773437
