mode,load,0_mobilenet_v3_small-32,1_resnet50-8,2_vgg13-16
mps-uncap,0.8,62.3005008697514,89.01698589324907,68.67126941680903
mps-uncap,0.9,161.82404756545895,167.8595542907715,154.63304519653317
mps-uncap,1.0,739.9686813354488,1236.554296016693,448.6416172981262
mps-uncap,0.5,19.36380863189698,21.792154312133782,24.40397024154662
mps-uncap,0.6,22.111713886260986,35.17402648925775,28.26765537261963
mps-uncap,0.7,34.48447227478018,48.86230468749989,38.67410659790038
mps-uncap,0.1,3.4411954879760676,3.0787801742553627,6.706938743591309
mps-uncap,0.2,8.71311902999875,6.634161472320557,11.779656410217274
mps-uncap,0.3,9.35675382614136,9.887163639068463,12.473020553588867
mps-uncap,0.4,11.818675994873038,15.00270366668702,17.168436050415014
