mode,load,0_mobilenet_v3_small-32,1_resnet50-8,2_vgg13-16
mps-uncap,0.8,18.632202148437504,24.442873001098633,10.642571449279783
mps-uncap,0.9,18.075096607208252,26.133155822753906,10.832047462463377
mps-uncap,1.0,19.220008850097653,25.567381381988525,11.09651803970337
mps-uncap,0.5,16.448509693145752,21.497602462768555,9.949021339416502
mps-uncap,0.6,16.543328762054443,23.52535247802733,10.211782455444334
mps-uncap,0.7,17.01153755187988,24.536085128784176,10.377559661865234
mps-uncap,0.1,11.231617927551268,16.679353713989254,8.978924751281738
mps-uncap,0.2,11.8167757987976,17.58164644241333,9.261655807495115
mps-uncap,0.3,13.666429519653326,17.82429695129394,9.586381912231445
mps-uncap,0.4,14.239377975463867,20.528852939605716,9.601278305053711
