mode,load,0_mobilenet_v3_small-32,1_resnet50-8,2_vgg13-16
mps-uncap,0.8,113.7852668762207,133.9583396911621,87.09311485290527
mps-uncap,0.9,239.7615909576416,201.77769660949707,191.17450714111328
mps-uncap,1.0,800.0521659851074,1394.822597503662,481.8429946899414
mps-uncap,0.5,32.40823745727539,38.97404670715332,45.514583587646484
mps-uncap,0.6,40.37189483642578,61.833858489990234,42.14668273925781
mps-uncap,0.7,74.13339614868164,82.21888542175293,66.82562828063965
mps-uncap,0.1,6.0272216796875,6.602764129638672,7.687091827392578
mps-uncap,0.2,16.408443450927734,11.86823844909668,15.909910202026367
mps-uncap,0.3,15.891075134277344,22.638559341430664,20.458221435546875
mps-uncap,0.4,24.961233139038086,19.946575164794922,39.74509239196777
