mode,load,0_mobilenet_v3_small-32,1_resnet50-8,2_vgg13-16
mps-uncap,0.8,1544.076491284695,290.958494898385,1301.7481244754665
mps-uncap,0.9,1714.5922649999209,332.6747712668265,1403.7027264278584
mps-uncap,1.0,1896.8669570107218,377.3760205111715,1556.9981329597124
mps-uncap,0.5,938.9060629036791,175.32496316349526,805.7618945234234
mps-uncap,0.6,1155.164292651359,213.97058731310742,951.6989630069148
mps-uncap,0.7,1339.5133480906002,259.69750322463864,1088.8938627207672
mps-uncap,0.1,185.25491251553035,31.963850023507053,151.78929519427143
mps-uncap,0.2,378.4666130392499,74.28222905568518,313.04929819089176
mps-uncap,0.3,574.87983275345,115.90088311301022,466.04645920399986
mps-uncap,0.4,751.7185626656338,147.7596118309717,634.7389669931558
