mode,load,0_efficientnet_b7-16,1_densenet201-2,2_squeezenet1_0-4
mps-uncap,1.0,37.6133918762207,29.642295837402344,6.323814392089844
mig,1.0,58.33859443664551,20.715880393981934,2.8269290924072266
