mode,load,0_densenet121-4,1_efficientnet_b7-8,2_mobilenet_v3_large-32
mps-uncap,0.8,16.146302223205566,37.60099411010742,10.74683666229248
mps-uncap,0.9,24.7802734375,67.32475757598877,17.890453338623047
mps-uncap,1.0,2110.762119293213,285.4074239730835,57.57904052734375
mps-uncap,0.5,12.968659400939941,22.98915386199951,7.16710090637207
mps-uncap,0.6,12.925505638122559,25.545239448547363,7.593870162963867
mps-uncap,0.7,14.642477035522461,28.559207916259766,8.578896522521973
mps-uncap,0.1,17.2116756439209,29.28602695465088,7.388114929199219
mps-uncap,0.2,16.774535179138184,22.44091033935547,7.484555244445801
mps-uncap,0.3,16.339540481567383,21.54827117919922,7.703304290771484
mps-uncap,0.4,13.265728950500488,21.67367935180664,7.344961166381836
