mode,load,0_densenet121-4,1_efficientnet_b7-8,2_mobilenet_v3_large-32
mps-uncap,0.8,61.78915977478043,172.35812187194804,56.4672327041626
mps-uncap,0.9,122.96737194061282,386.42843723297113,101.2669038772581
mps-uncap,1.0,5719.878768920898,889.3048048019407,245.12998580932617
mps-uncap,0.5,26.67757272720336,46.87794923782348,18.577308654785153
mps-uncap,0.6,33.32943916320789,67.35711097717281,23.11194419860837
mps-uncap,0.7,43.32987308502198,96.09019517898562,29.53720331192016
mps-uncap,0.1,12.805662155151374,18.837175369262706,6.633777618408198
mps-uncap,0.2,18.030047416686983,22.451722621917746,8.703970909118647
mps-uncap,0.3,25.16850471496578,23.02041769027709,13.576273918151944
mps-uncap,0.4,27.938258647918786,38.78659248352051,15.48147201538086
