mode,load,0_densenet121-4,1_efficientnet_b7-8,2_mobilenet_v3_large-32
mps-uncap,0.8,195.97279893133208,198.6474902610498,3187.2786410242948
mps-uncap,0.9,229.9390615275154,225.23610292587782,3544.842395984683
mps-uncap,1.0,244.43845085092505,250.85659622854112,3997.337948516005
mps-uncap,0.5,129.38595774766364,121.12832283888731,1973.9159012435305
mps-uncap,0.6,151.82099895287348,147.61697756528855,2399.8119549397948
mps-uncap,0.7,176.50455927217132,182.14086399618571,2846.7439529856892
mps-uncap,0.1,24.97886044919261,22.307811658272364,409.9761005565877
mps-uncap,0.2,50.0475130395396,49.217576684765085,803.9028707339725
mps-uncap,0.3,74.12605122039878,78.10179776507954,1177.5007027389927
mps-uncap,0.4,102.28763869056924,97.17686479020504,1611.1619454322208
