mode,load,0_squeezenet1_0-32,1_densenet121-2,2_resnet152-4
mps-uncap,1.0,20.48492431640625,22.843360900878906,33.434152603149414
mig,1.0,22.455692291259766,22.067785263061523,30.1210880279541
