mode,load,0_squeezenet1_0-32,1_densenet121-2,2_resnet152-4
mps-uncap,1.0,9.034309387207031,17.814457416534424,26.059584617614746
mig,1.0,14.964399337768553,12.928750514984129,16.20717048645019
