mode,load,0_squeezenet1_0-32,1_densenet121-2,2_resnet152-4
mps-uncap,1.0,4013.2873428116195,124.39963900277355,167.06213345324622
mig,1.0,2471.45564435822,163.86605340654683,260.4628907656741
