mode,load,0_squeezenet1_0-32,1_densenet121-2,2_resnet152-4
mps-uncap,1.0,7.250785827636719,12.646913528442383,18.715620040893555
mig,1.0,12.434720993041992,12.01486587524414,15.127897262573242
