mode,load,0_mobilenet_v3_small-32,1_densenet169-2,2_resnet18-2
mps-uncap,1.0,4.870057106018066,17.650842666625977,2.362489700317383
mig,1.0,5.470728874206543,17.270803451538086,2.1483898162841797
