mode,load,0_mobilenet_v3_small-32,1_densenet169-2,2_resnet18-2
mps-uncap,1.0,4.870295524597168,17.650842666625977,2.362489700317383
mig,1.0,5.470752716064453,17.270851135253906,2.1483898162841797
