mode,load,0_mobilenet_v3_small-32,1_densenet169-2,2_resnet18-2
mps-uncap,1.0,4.288673400878906,17.456769943237305,1.9924640655517578
mig,1.0,4.854917526245117,17.046451568603516,2.0873546600341797
