mode,load,0_mobilenet_v3_small-32,1_densenet169-2,2_resnet18-2
mps-uncap,1.0,7215.756193333807,114.26605724712928,953.3622453124925
mig,1.0,6432.4912167235025,116.89113944117207,951.6027574319702
