mode,load,0_mobilenet_v3_small-32,1_densenet169-2,2_resnet18-2
mps-uncap,1.0,0.0054836273193359375,0.000476837158203125,0.005245208740234375
mig,1.0,0.0054836273193359375,0.005245208740234375,0.000476837158203125
