mode,load,0_mobilenet_v3_small-32,1_densenet169-2,2_resnet18-2
mps-uncap,1.0,5.21169900894165,18.227310180664062,2.6748180389404297
mig,1.0,5.64265251159668,17.943363189697266,2.2127628326416016
