mode,load,0_mobilenet_v3_small-8,1_efficientnet_b7-2,2_inception_v3-4
mps-uncap,1.0,4.759705066680906,23.30211639404297,9.498834609985352
mig,1.0,4.579191207885742,22.639484405517578,9.33607816696167
