mode,load,0_mobilenet_v3_small-8,1_efficientnet_b7-2,2_inception_v3-4
mps-uncap,1.0,4.101991653442383,21.019458770751953,8.598089218139648
mig,1.0,4.075765609741211,21.00825309753418,8.490800857543945
