mode,load,0_mobilenet_v2-8,1_resnet18-32,2_resnet50-8
mps-uncap,0.8,6.293892860412598,7.046937942504883,10.034322738647461
mps-uncap,0.9,6.111502647399902,7.710695266723633,10.74516773223877
mps-uncap,1.0,6.234884262084961,7.930994033813477,10.895848274230957
mps-uncap,0.5,5.347251892089844,5.933046340942383,7.547736167907715
mps-uncap,0.6,5.279779434204102,6.165504455566406,7.737159729003906
mps-uncap,0.7,5.277872085571289,6.661176681518555,8.94784927368164
mps-uncap,0.1,9.247779846191406,7.094383239746094,10.720968246459961
mps-uncap,0.2,9.073138236999512,6.843090057373047,10.696768760681152
mps-uncap,0.3,7.845401763916016,6.789445877075195,9.864568710327148
mps-uncap,0.4,6.802558898925781,6.08670711517334,8.437514305114746
