mode,load,0_mobilenet_v2-8,1_resnet18-32,2_resnet50-8
mps-uncap,0.8,80.28392314910901,146.24938964843753,87.66182422637934
mps-uncap,0.9,110.86740493774417,2777.2420406341553,211.00914478301996
mps-uncap,1.0,262.74236679077086,10681.240425109865,3162.834513187409
mps-uncap,0.5,20.567722320556634,29.198141098022454,25.31470298767096
mps-uncap,0.6,26.915793418884142,40.28373956680298,37.339329719543535
mps-uncap,0.7,26.291265487670838,65.12270927429192,48.23274612426757
mps-uncap,0.1,19.74484443664549,15.574121475219714,21.157956123352022
mps-uncap,0.2,24.260096549987836,16.742744445800774,23.32618236541747
mps-uncap,0.3,23.63213539123532,20.431318283081005,24.516763687133793
mps-uncap,0.4,20.90317726135254,22.89504528045654,23.15857410430909
