mode,load,0_vgg16-32,1_densenet201-2,2_efficientnet_b6-2
ts,0.1,159.92218940810014,2.676102989112487,3.1603642674014623
ts,0.2,298.95083539436763,4.431648882712021,6.809486086500297
ts,0.3,439.54131865199145,7.227546200221581,9.657763226107546
ts,0.4,593.2436699322197,9.791336555800662,12.418037639056065
ts,0.5,762.2846869287692,11.905867239094281,15.343843124025973
ts,0.6,900.2631695717162,14.750232553111308,18.17539516892663
ts,0.7,1041.5843398512486,16.72516425985657,21.47334642473084
ts,0.8,1210.3357081914992,19.407034820478795,25.394992753950213
ts,0.9,1195.4050533185882,21.716609872762643,29.58045674416884
ts,1.0,1165.6740848533918,24.157211766118053,31.712532896968046
ts,1.1,1133.1760374433602,26.191315674248496,34.592244427457345
ts,1.2,1105.15394721988,29.235096505715177,36.13737154597812
ts,1.3,1056.5640694209483,31.46760615891293,41.86941068150671
ts,1.4,1015.5717063297988,34.61277748745346,44.82910875277535
ts,1.5,996.8506305592882,35.829413384466726,47.466224106412234
mps-uncap,0.1,159.65794280379842,2.2772779564923447,2.7055715079335423
mps-uncap,0.2,294.3937532100674,4.76015113246077,6.312555624092952
mps-uncap,0.3,446.5722294609209,7.810294789631838,9.030010876563775
mps-uncap,0.4,600.6226564707003,9.631319529206326,12.134636540499448
mps-uncap,0.5,764.8052413621904,11.904648788630615,15.501920266740612
mps-uncap,0.6,879.6421118039974,14.599376852830432,19.674678341363013
mps-uncap,0.7,1020.6570435372512,16.80247241253916,22.59776097171767
mps-uncap,0.8,1208.0253027911542,19.587996052233212,25.400583570370316
mps-uncap,0.9,1364.524650029159,21.244416223959792,27.485909488232693
mps-uncap,1.0,1488.5309013979022,23.58016568134011,29.55833317562441
mps-uncap,1.1,1483.2460515752807,23.808078266539216,30.876975331786213
mps-uncap,1.2,1480.6715242273197,23.899618787154168,30.8763592336314
mps-uncap,1.3,1477.7661424571406,23.987439309301678,30.83123793645625
mps-uncap,1.4,1479.7904045611049,23.729656208025293,30.849941857721667
mps-uncap,1.5,1482.4472553785465,23.720274065560435,30.89540148863951
mig,0.1,150.66688980721662,2.6469181588869435,3.3751582231792607
mig,0.2,297.83399229697636,5.155217410105921,6.140489906477777
mig,0.3,466.9999675273842,7.137796285422103,9.621066063352115
mig,0.4,598.6999198305374,8.95054914346844,13.436277284667245
mig,0.5,774.1332100288114,12.190656416719394,15.25971553555349
mig,0.6,789.3911892808455,14.855270365399592,19.110184164074305
mig,0.7,789.4984330451412,17.403535701304477,21.93915283473247
mig,0.8,789.752658645807,19.09522237312936,24.593643886606564
mig,0.9,747.2783596091632,21.15291456375103,28.506228006468884
mig,1.0,790.0257571103963,23.873547349278493,30.65516221741973
mig,1.1,789.3762240312316,26.31673246938241,35.399567829812455
mig,1.2,789.044703699261,28.962669500421697,36.985885435263995
mig,1.3,788.7547609014515,31.56351546937384,40.352483924712736
mig,1.4,788.2084010766453,33.78931411055834,45.6356061442374
mig,1.5,787.9684264473655,36.29264232456658,46.0004078646833
