mode,load,0_vgg16-32,1_densenet201-2,2_efficientnet_b6-2
mps-uncap,0.1,27.617287635803198,13.478257656097293,22.369418144226092
mps-uncap,0.2,30.595691204071017,28.543517589569085,30.03054618835447
mps-uncap,0.3,36.730947494506836,42.69925594329834,32.106909751892104
mps-uncap,0.4,48.19862842559814,51.653857231140215,49.578375816345314
mps-uncap,0.5,54.413456916808926,56.74001693725591,48.755502700805714
mps-uncap,0.6,79.73606348037723,111.07902526855467,81.73165321350093
mps-uncap,0.7,119.38161849975587,123.11018943786624,145.1067066192623
mps-uncap,0.8,190.15375137329102,231.397337913513,324.31678771972645
mps-uncap,0.9,420.68103075027466,543.6103940010037,677.7258896827692
mps-uncap,1.0,3888.546323776245,11023.827962875366,1846.8811511993408
mps-uncap,1.1,14177.828073501585,10578.424229621885,9009.877891540526
mps-uncap,1.2,23118.15357208252,22057.69956111908,21151.799881458282
mps-uncap,1.3,28367.58769273758,31823.998696804047,28248.565216064453
mps-uncap,1.4,37116.02016210556,37566.56444311142,36766.55587911606
mps-uncap,1.5,41004.354310035706,41747.54680633546,41869.59452629089
ts,0.1,27.790260314941605,25.76305389404296,28.310065269470208
ts,0.2,29.601173400878793,23.378181457519624,28.066601753234856
ts,0.3,44.112615585327106,29.089848995208733,22.372217178344656
ts,0.4,60.03059148788459,30.40226936340332,27.61462211608888
ts,0.5,99.0818309783935,31.547040939331048,26.440930366516127
ts,0.6,131.74569368362418,31.996870040893555,28.937101364135742
ts,0.7,282.17788696289057,31.539630889892603,31.794371604919437
ts,0.8,1512.2424244880676,30.694479942321795,36.986360549926744
ts,0.9,15226.76321029663,38.187119960784905,37.39594459533692
ts,1.0,26973.061871528625,40.550656318664515,44.880511760711826
ts,1.1,37575.356476306915,39.303073883056605,51.942517757415615
ts,1.2,46313.54160308837,43.538894653320334,51.66389942169191
ts,1.3,53715.00710964203,50.58054447174069,66.7928981781006
ts,1.4,61194.385957717896,65.60092926025382,60.76617240905764
ts,1.5,66134.04563903809,62.59706020355225,67.88310050964371
mig,0.1,58.334746360778745,33.169758319854736,13.631048202514588
mig,0.2,99.26506280899041,24.10604953765876,28.93272161483765
mig,0.3,164.0684676170352,28.122797012329052,16.16613388061524
mig,0.4,255.27379035949676,30.677499771118164,26.841115951538153
mig,0.5,2148.1117844581604,27.270984649658107,18.58804702758791
mig,0.6,13507.123589515686,33.8182568550109,28.518123626708988
mig,0.7,30531.44690275192,30.287861824035645,29.977617263793938
mig,0.8,41264.718074798584,31.923456192016605,31.30805015563966
mig,0.9,55363.50277900696,25.48406124114989,31.0436725616455
mig,1.0,55785.54092168807,32.79130935668945,31.65125846862793
mig,1.1,60903.08177947998,35.57836771011346,32.15422630310065
mig,1.2,66766.82085037231,36.10873222351073,30.868363380432115
mig,1.3,70774.9216556549,44.95847225189215,31.069736480712887
mig,1.4,73592.2445487976,40.583672523498514,40.68181514739993
mig,1.5,77181.53219223022,42.059578895568904,37.42567777633667
