mode,load,0_vgg16-32,1_densenet201-2,2_efficientnet_b6-2
ts,0.1,60.91165542602543,51.924626827239976,54.06020879745478
ts,0.2,60.344066619872834,49.74008560180672,49.785149097442584
ts,0.3,67.28088855743385,53.9542818069458,46.10887527465815
ts,0.4,83.75005722045903,54.00402784347534,51.34355545043945
ts,0.5,121.66887283325195,54.605207443237305,46.469354629516616
ts,0.6,153.0550622940062,54.980850219726584,50.905704498291016
ts,0.7,306.271238327026,53.734755516052296,53.58619928359989
ts,0.8,1539.6238565444949,54.19541597366335,56.48519515991207
ts,0.9,15253.373701572418,61.987988948822014,57.97678947448731
ts,1.0,27002.740514278412,63.00396203994749,67.30216503143322
ts,1.1,37597.77995109558,63.41479301452636,72.02854871749855
ts,1.2,46332.733116149895,66.66465759277344,74.32292461395264
ts,1.3,53753.536858558655,73.39893817901608,86.93631172180177
ts,1.4,61215.26064872742,89.98625755310046,82.89539813995363
ts,1.5,66162.84587860107,84.24176454544072,89.40698146820093
mps-uncap,0.1,55.45833110809323,62.70363807678221,53.95812034606935
mps-uncap,0.2,53.71027708053587,57.864089012145996,65.60187339782712
mps-uncap,0.3,56.18524074554442,70.68323850631714,60.72821855545046
mps-uncap,0.4,68.15631389617913,82.93678283691412,76.80046796798707
mps-uncap,0.5,74.52495574951162,93.46382141113283,95.68953514099125
mps-uncap,0.6,100.18127202987672,150.732684135437,129.83229160308827
mps-uncap,0.7,139.98341560363772,177.26376533508324,190.3132653236388
mps-uncap,0.8,211.23284339904785,289.8536705970761,372.1693634986874
mps-uncap,0.9,442.20794200897205,627.3976755142182,734.0253114700317
mps-uncap,1.0,3909.916591644287,11108.031663894653,1910.1190567016602
mps-uncap,1.1,14199.905376434324,10662.875499725342,9071.511859893799
mps-uncap,1.2,23139.807367324833,22135.896573066708,21205.013287067413
mps-uncap,1.3,28389.270503520966,31896.73192024231,28317.79305934906
mps-uncap,1.4,37137.65468597412,37650.53066730499,36832.362186908715
mps-uncap,1.5,41025.85780143738,41834.66647148133,41934.60040092468
mig,0.1,102.861087322235,58.19278717041014,30.546894073486268
mig,0.2,139.73687887191767,48.46186161041263,53.158836364746094
mig,0.3,204.55453634262113,51.64122581481928,32.98154830932618
mig,0.4,295.7391452789304,51.40729904174804,46.20045423507697
mig,0.5,2188.583724498749,48.54935646057123,39.31581497192388
mig,0.6,13547.572255134583,55.28419017791736,51.46604776382447
mig,0.7,30571.942222118378,51.27060413360596,50.9958553314209
mig,0.8,41305.32450675964,52.04922676086426,49.019203186035156
mig,0.9,55406.47597312927,46.054673194885254,48.45037460327148
mig,1.0,55825.90979099273,53.15055847167969,51.82766914367676
mig,1.1,60943.5193347931,55.650444030761655,48.96488189697267
mig,1.2,66807.7325463295,56.09640359878539,47.60329723358153
mig,1.3,70815.58699607849,65.3212189674378,47.99914360046387
mig,1.4,73633.06451559067,60.73725461959835,57.69708156585695
mig,1.5,77221.98529958725,62.42100477218632,54.194557666778564
