mode,load,0_vgg16-32,1_densenet201-2,2_efficientnet_b6-2
mps-uncap,0.1,30.07984161376953,45.81899642944336,40.60373306274414
mps-uncap,0.2,33.71119499206543,45.56875228881836,40.195703506469734
mps-uncap,0.3,34.516620635986335,46.42815589904785,42.60685443878174
mps-uncap,0.4,39.04438018798829,55.64062595367432,50.36880970001221
mps-uncap,0.5,46.27461433410647,65.19782543182373,55.776357650756836
mps-uncap,0.6,56.169772148132324,80.55081367492676,64.79930877685547
mps-uncap,0.7,76.72262191772461,104.62822914123535,96.8015193939209
mps-uncap,0.8,109.00158882141116,167.0602321624756,160.94493865966797
mps-uncap,0.9,296.6777324676514,353.6900758743286,323.4843492507935
mps-uncap,1.0,3639.0538215637207,9344.41556930542,1484.4400882720947
mps-uncap,1.1,12668.638229370117,9271.21992111206,8604.886102676392
mps-uncap,1.2,21856.051921844482,20343.950748443604,19106.009483337402
mps-uncap,1.3,26220.82962989807,28248.620796203613,25377.05340385437
mps-uncap,1.4,33593.0362701416,34193.90561580659,32895.18790245056
mps-uncap,1.5,36800.95238685608,38073.63209724426,37661.556124687195
ts,0.1,40.49944877624512,46.49069309234619,39.9766206741333
ts,0.2,35.484123229980476,36.818790435791016,32.448458671569824
ts,0.3,37.5734567642212,37.37194538116455,30.689907073974613
ts,0.4,49.29220676422119,37.24019527435303,31.909036636352543
ts,0.5,65.53640365600587,36.57488822937012,30.246973037719727
ts,0.6,89.9183750152588,35.21847724914551,32.74059295654297
ts,0.7,157.3441028594971,36.61942481994629,33.706092834472656
ts,0.8,1242.9319620132446,37.41579055786132,36.72442436218262
ts,0.9,14135.623025894165,40.131926536560066,39.09888267517089
ts,1.0,25032.899141311646,41.415071487426765,40.82155227661133
ts,1.1,33975.725936889656,41.681623458862305,42.52827167510986
ts,1.2,41733.89644622803,43.85511875152588,43.54991912841796
ts,1.3,48840.85826873779,45.952653884887695,48.28844070434572
ts,1.4,55941.73717498779,52.39367485046386,51.15199089050293
ts,1.5,59907.17258453369,50.2032995223999,52.39753723144533
mig,0.1,68.52445602416991,45.39816379547119,18.429994583129883
mig,0.2,82.48317241668701,36.24925613403321,38.89796733856201
mig,0.3,118.77100467681885,35.96992492675781,19.406604766845707
mig,0.4,185.6767177581787,35.846662521362305,30.010342597961426
mig,0.5,1689.30344581604,35.46996116638184,29.691791534423828
mig,0.6,12105.062246322632,31.88955783843994,30.30421733856201
mig,0.7,27853.193140029907,32.49979019165039,30.95388412475587
mig,0.8,38132.20171928406,35.70365905761719,31.18753433227539
mig,0.9,51059.77015495302,34.55853462219238,31.344175338745117
mig,1.0,50252.86509990693,35.49199104309082,31.203746795654297
mig,1.1,55094.410371780396,37.05940246582031,31.303882598876953
mig,1.2,60475.96478462219,35.86852550506592,31.123876571655273
mig,1.3,64120.851039886475,38.50555419921875,32.96642303466797
mig,1.4,66929.83403205872,38.9277458190918,35.47539710998534
mig,1.5,69768.94636154175,39.51616287231446,34.19575691223145
