mode,load,0_squeezenet1_0-32,1_vgg11-8,2_vgg16-2
mps-uncap,0.8,5.9757232666015625,3.452301025390625,2.031564712524414
mps-uncap,0.9,6.613492965698242,3.552675247192383,2.044677734375
mps-uncap,1.0,7.731199264526367,3.5676956176757812,2.063751220703125
mps-uncap,0.5,6.060123443603516,3.4148693084716797,2.0270347595214844
mps-uncap,0.6,6.03938102722168,3.433704376220703,2.0220279693603516
mps-uncap,0.7,5.983114242553711,3.3936500549316406,2.0151138305664062
mps-uncap,0.1,6.00433349609375,3.4682750701904297,2.1598339080810547
mps-uncap,0.2,5.960226058959961,3.4329891204833984,2.2025108337402344
mps-uncap,0.3,5.895376205444336,3.421306610107422,2.027273178100586
mps-uncap,0.4,5.921602249145508,3.420114517211914,2.0372867584228516
