mode,load,0_densenet161-32,1_efficientnet_b6-16,2_mobilenet_v2-16
mps-uncap,1.0,44.188499450683594,50.399065017700195,6.268978118896484
mig,1.0,62.37483024597168,69.9005126953125,9.76419448852539
