mode,load,0_efficientnet_b5-4,1_efficientnet_b7-8,2_vgg11-2
mps-uncap,0.8,150.0080665131808,200.81447554474218,629.8092029764291
mps-uncap,0.9,170.41719195536987,226.05559197340253,707.9009161341589
mps-uncap,1.0,174.1063714678968,241.36905295191178,713.2163060738849
mps-uncap,0.5,95.6622993294079,128.2938743304537,388.26368034174004
mps-uncap,0.6,113.3680551135741,147.54096441707642,470.4281838687249
mps-uncap,0.7,130.83815469898158,173.35343216904747,544.6835762523133
mps-uncap,0.1,17.43479185418461,23.114079120981344,79.17058138643347
mps-uncap,0.2,40.14560952761532,47.338578761748,156.96167079151334
mps-uncap,0.3,55.941838747403246,72.8536383283343,231.13953581748262
mps-uncap,0.4,75.79533284528851,103.64294207776797,321.6509886171729
