mode,load,0_efficientnet_b5-4,1_efficientnet_b7-8,2_vgg11-2
mps-uncap,0.8,26.29566192626953,33.599853515625,13.716459274291992
mps-uncap,0.9,32.903432846069336,46.86450958251953,13.762235641479492
mps-uncap,1.0,36.98420524597168,43.22361946105957,15.21611213684082
mps-uncap,0.5,28.176069259643555,36.03339195251465,15.239238739013672
mps-uncap,0.6,35.51435470581055,38.89918327331543,16.46590232849121
mps-uncap,0.7,27.370214462280273,32.924652099609375,11.823415756225586
mps-uncap,0.1,37.13274002075195,47.01733589172363,5.533933639526367
mps-uncap,0.2,31.05020523071289,40.287017822265625,5.800962448120117
mps-uncap,0.3,30.777454376220703,38.61594200134277,14.33420181274414
mps-uncap,0.4,29.215097427368164,37.75835037231445,16.660213470458984
