mode,load,0_squeezenet1_0-8,1_alexnet-2,2_resnet50-4
mps-uncap,1.0,3.8139820098876953,1.5459060668945312,6.418752670288086
mig,1.0,3.6520957946777344,1.5630722045898438,7.2231292724609375
