mode,load,0_squeezenet1_0-8,1_alexnet-2,2_resnet50-4
mps-uncap,1.0,3.5982131958007812,1.2516975402832031,6.055116653442383
mig,1.0,3.446817398071289,1.4657974243164062,7.0209503173828125
