mode,load,0_squeezenet1_0-8,1_alexnet-2,2_resnet50-4
mps-uncap,1.0,0.000476837158203125,0.007152557373046875,0.000476837158203125
mig,1.0,0.000476837158203125,0.00762939453125,0.00476837158203125
