mode,load,0_squeezenet1_0-8,1_alexnet-2,2_resnet50-4
mps-uncap,1.0,3.813910484313965,1.5459060668945312,6.418704986572266
mig,1.0,3.6520719528198247,1.5628337860107422,7.222890853881836
