mode,load,0_squeezenet1_0-8,1_alexnet-2,2_resnet50-4
mps-uncap,1.0,2219.2345134259936,1548.5776934238927,660.3986420756728
mig,1.0,2279.8381836863896,1342.0741120311018,564.996923348194
