mode,load,0_squeezenet1_0-8,1_alexnet-2,2_resnet50-4
mps-uncap,1.0,3.598451614379883,1.2519359588623047,6.055355072021484
mig,1.0,3.4470558166503906,1.4657974243164062,7.021188735961914
